indicator,indicator_description,indicator_source,demographic,demographic_description,time_description,time_period,value_description,value,term_description,upper_term,lower_term
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),non-Disabled,Disability (Washington Group Short Set),"3-year pooled, rolling average period ending in",2020/21,Proportion,0.068,95% Confidence Intervals,0.072,0.064
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Disabled,Disability (Washington Group Short Set),"3-year pooled, rolling average period ending in",2020/21,Proportion,0.272,95% Confidence Intervals,0.292,0.253
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),non-Disabled,Disability (Washington Group Short Set),"3-year pooled, rolling average period ending in",2021/22,Proportion,0.077,95% Confidence Intervals,0.083,0.071
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Disabled,Disability (Washington Group Short Set),"3-year pooled, rolling average period ending in",2021/22,Proportion,0.294,95% Confidence Intervals,0.321,0.269
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),non-Disabled,Disability (Washington Group Short Set),"3-year pooled, rolling average period ending in",2022/23,Proportion,0.09,95% Confidence Intervals,0.096,0.084
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Disabled,Disability (Washington Group Short Set),"3-year pooled, rolling average period ending in",2022/23,Proportion,0.323,95% Confidence Intervals,0.350,0.297
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R1,GCH2018,"3-year pooled, rolling average period ending in",2013/14,Proportion,0.047,95% Confidence Intervals,0.060,0.036
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R2,GCH2018,"3-year pooled, rolling average period ending in",2013/14,Proportion,0.05,95% Confidence Intervals,0.062,0.039
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R3,GCH2018,"3-year pooled, rolling average period ending in",2013/14,Proportion,.S,95% Confidence Intervals,.S,.S
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U1,GCH2018,"3-year pooled, rolling average period ending in",2013/14,Proportion,0.06,95% Confidence Intervals,0.066,0.055
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U2,GCH2018,"3-year pooled, rolling average period ending in",2013/14,Proportion,0.053,95% Confidence Intervals,0.059,0.047
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R1,GCH2018,"3-year pooled, rolling average period ending in",2014/15,Proportion,0.05,95% Confidence Intervals,0.063,0.039
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R2,GCH2018,"3-year pooled, rolling average period ending in",2014/15,Proportion,0.047,95% Confidence Intervals,0.060,0.036
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R3,GCH2018,"3-year pooled, rolling average period ending in",2014/15,Proportion,.S,95% Confidence Intervals,.S,.S
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U1,GCH2018,"3-year pooled, rolling average period ending in",2014/15,Proportion,0.065,95% Confidence Intervals,0.071,0.060
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U2,GCH2018,"3-year pooled, rolling average period ending in",2014/15,Proportion,0.062,95% Confidence Intervals,0.069,0.056
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R1,GCH2018,"3-year pooled, rolling average period ending in",2015/16,Proportion,0.055,95% Confidence Intervals,0.067,0.044
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R2,GCH2018,"3-year pooled, rolling average period ending in",2015/16,Proportion,0.045,95% Confidence Intervals,0.058,0.035
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R3,GCH2018,"3-year pooled, rolling average period ending in",2015/16,Proportion,.S,95% Confidence Intervals,.S,.S
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U1,GCH2018,"3-year pooled, rolling average period ending in",2015/16,Proportion,0.067,95% Confidence Intervals,0.072,0.061
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U2,GCH2018,"3-year pooled, rolling average period ending in",2015/16,Proportion,0.068,95% Confidence Intervals,0.076,0.062
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R1,GCH2018,"3-year pooled, rolling average period ending in",2016/17,Proportion,0.058,95% Confidence Intervals,0.069,0.048
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R2,GCH2018,"3-year pooled, rolling average period ending in",2016/17,Proportion,0.056,95% Confidence Intervals,0.068,0.045
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R3,GCH2018,"3-year pooled, rolling average period ending in",2016/17,Proportion,.S,95% Confidence Intervals,.S,.S
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U1,GCH2018,"3-year pooled, rolling average period ending in",2016/17,Proportion,0.07,95% Confidence Intervals,0.075,0.065
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U2,GCH2018,"3-year pooled, rolling average period ending in",2016/17,Proportion,0.077,95% Confidence Intervals,0.086,0.069
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R1,GCH2018,"3-year pooled, rolling average period ending in",2017/18,Proportion,0.066,95% Confidence Intervals,0.077,0.056
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R2,GCH2018,"3-year pooled, rolling average period ending in",2017/18,Proportion,0.068,95% Confidence Intervals,0.083,0.054
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R3,GCH2018,"3-year pooled, rolling average period ending in",2017/18,Proportion,0.07,95% Confidence Intervals,0.103,0.046
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U1,GCH2018,"3-year pooled, rolling average period ending in",2017/18,Proportion,0.077,95% Confidence Intervals,0.082,0.073
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U2,GCH2018,"3-year pooled, rolling average period ending in",2017/18,Proportion,0.086,95% Confidence Intervals,0.095,0.078
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R1,GCH2018,"3-year pooled, rolling average period ending in",2018/19,Proportion,0.077,95% Confidence Intervals,0.088,0.067
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R2,GCH2018,"3-year pooled, rolling average period ending in",2018/19,Proportion,0.074,95% Confidence Intervals,0.092,0.058
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R3,GCH2018,"3-year pooled, rolling average period ending in",2018/19,Proportion,0.089,95% Confidence Intervals,0.125,0.061
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U1,GCH2018,"3-year pooled, rolling average period ending in",2018/19,Proportion,0.08,95% Confidence Intervals,0.086,0.075
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U2,GCH2018,"3-year pooled, rolling average period ending in",2018/19,Proportion,0.09,95% Confidence Intervals,0.099,0.082
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R1,GCH2018,"3-year pooled, rolling average period ending in",2019/20,Proportion,0.077,95% Confidence Intervals,0.090,0.066
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R2,GCH2018,"3-year pooled, rolling average period ending in",2019/20,Proportion,0.091,95% Confidence Intervals,0.110,0.074
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R3,GCH2018,"3-year pooled, rolling average period ending in",2019/20,Proportion,.S,95% Confidence Intervals,.S,.S
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U1,GCH2018,"3-year pooled, rolling average period ending in",2019/20,Proportion,0.078,95% Confidence Intervals,0.083,0.073
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U2,GCH2018,"3-year pooled, rolling average period ending in",2019/20,Proportion,0.092,95% Confidence Intervals,0.101,0.083
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R1,GCH2018,"3-year pooled, rolling average period ending in",2020/21,Proportion,0.086,95% Confidence Intervals,0.099,0.074
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R2,GCH2018,"3-year pooled, rolling average period ending in",2020/21,Proportion,0.089,95% Confidence Intervals,0.108,0.073
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R3,GCH2018,"3-year pooled, rolling average period ending in",2020/21,Proportion,.S,95% Confidence Intervals,.S,.S
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U1,GCH2018,"3-year pooled, rolling average period ending in",2020/21,Proportion,0.081,95% Confidence Intervals,0.087,0.076
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U2,GCH2018,"3-year pooled, rolling average period ending in",2020/21,Proportion,0.093,95% Confidence Intervals,0.103,0.084
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R1,GCH2018,"3-year pooled, rolling average period ending in",2021/22,Proportion,0.083,95% Confidence Intervals,0.098,0.069
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R2,GCH2018,"3-year pooled, rolling average period ending in",2021/22,Proportion,0.079,95% Confidence Intervals,0.097,0.064
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R3,GCH2018,"3-year pooled, rolling average period ending in",2021/22,Proportion,.S,95% Confidence Intervals,.S,.S
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U1,GCH2018,"3-year pooled, rolling average period ending in",2021/22,Proportion,0.099,95% Confidence Intervals,0.107,0.091
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U2,GCH2018,"3-year pooled, rolling average period ending in",2021/22,Proportion,0.098,95% Confidence Intervals,0.110,0.086
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R1,GCH2018,"3-year pooled, rolling average period ending in",2022/23,Proportion,0.092,95% Confidence Intervals,0.113,0.075
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R2,GCH2018,"3-year pooled, rolling average period ending in",2022/23,Proportion,0.071,95% Confidence Intervals,0.092,0.054
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),R3,GCH2018,"3-year pooled, rolling average period ending in",2022/23,Proportion,.S,95% Confidence Intervals,.S,.S
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U1,GCH2018,"3-year pooled, rolling average period ending in",2022/23,Proportion,0.115,95% Confidence Intervals,0.124,0.107
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),U2,GCH2018,"3-year pooled, rolling average period ending in",2022/23,Proportion,0.118,95% Confidence Intervals,0.132,0.105
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Rural,GCH2018 (binary),"3-year pooled, rolling average period ending in",2013/14,Proportion,0.049,95% Confidence Intervals,0.058,0.041
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Urban,GCH2018 (binary),"3-year pooled, rolling average period ending in",2013/14,Proportion,0.058,95% Confidence Intervals,0.063,0.054
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Rural,GCH2018 (binary),"3-year pooled, rolling average period ending in",2014/15,Proportion,0.05,95% Confidence Intervals,0.059,0.042
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Urban,GCH2018 (binary),"3-year pooled, rolling average period ending in",2014/15,Proportion,0.065,95% Confidence Intervals,0.069,0.060
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Rural,GCH2018 (binary),"3-year pooled, rolling average period ending in",2015/16,Proportion,0.051,95% Confidence Intervals,0.060,0.044
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Urban,GCH2018 (binary),"3-year pooled, rolling average period ending in",2015/16,Proportion,0.067,95% Confidence Intervals,0.071,0.063
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Rural,GCH2018 (binary),"3-year pooled, rolling average period ending in",2016/17,Proportion,0.057,95% Confidence Intervals,0.066,0.049
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Urban,GCH2018 (binary),"3-year pooled, rolling average period ending in",2016/17,Proportion,0.071,95% Confidence Intervals,0.075,0.067
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Rural,GCH2018 (binary),"3-year pooled, rolling average period ending in",2017/18,Proportion,0.067,95% Confidence Intervals,0.076,0.059
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Urban,GCH2018 (binary),"3-year pooled, rolling average period ending in",2017/18,Proportion,0.079,95% Confidence Intervals,0.083,0.075
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Rural,GCH2018 (binary),"3-year pooled, rolling average period ending in",2018/19,Proportion,0.077,95% Confidence Intervals,0.086,0.068
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Urban,GCH2018 (binary),"3-year pooled, rolling average period ending in",2018/19,Proportion,0.083,95% Confidence Intervals,0.087,0.078
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Rural,GCH2018 (binary),"3-year pooled, rolling average period ending in",2019/20,Proportion,0.083,95% Confidence Intervals,0.094,0.073
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Urban,GCH2018 (binary),"3-year pooled, rolling average period ending in",2019/20,Proportion,0.081,95% Confidence Intervals,0.085,0.077
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Rural,GCH2018 (binary),"3-year pooled, rolling average period ending in",2020/21,Proportion,0.088,95% Confidence Intervals,0.099,0.078
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Urban,GCH2018 (binary),"3-year pooled, rolling average period ending in",2020/21,Proportion,0.084,95% Confidence Intervals,0.089,0.079
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Rural,GCH2018 (binary),"3-year pooled, rolling average period ending in",2021/22,Proportion,0.082,95% Confidence Intervals,0.094,0.072
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Urban,GCH2018 (binary),"3-year pooled, rolling average period ending in",2021/22,Proportion,0.098,95% Confidence Intervals,0.105,0.092
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Rural,GCH2018 (binary),"3-year pooled, rolling average period ending in",2022/23,Proportion,0.085,95% Confidence Intervals,0.101,0.071
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Urban,GCH2018 (binary),"3-year pooled, rolling average period ending in",2022/23,Proportion,0.116,95% Confidence Intervals,0.123,0.109
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 1: Least deprived,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2013/14,Proportion,0.033,95% Confidence Intervals,0.040,0.027
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 2,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2013/14,Proportion,0.047,95% Confidence Intervals,0.056,0.040
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 3,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2013/14,Proportion,0.05,95% Confidence Intervals,0.058,0.042
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 4,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2013/14,Proportion,0.066,95% Confidence Intervals,0.074,0.058
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 5: Most deprived,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2013/14,Proportion,0.09,95% Confidence Intervals,0.099,0.081
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 1: Least deprived,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2014/15,Proportion,0.037,95% Confidence Intervals,0.044,0.030
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 2,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2014/15,Proportion,0.051,95% Confidence Intervals,0.060,0.043
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 3,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2014/15,Proportion,0.056,95% Confidence Intervals,0.066,0.048
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 4,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2014/15,Proportion,0.071,95% Confidence Intervals,0.080,0.063
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 5: Most deprived,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2014/15,Proportion,0.097,95% Confidence Intervals,0.106,0.088
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 1: Least deprived,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2015/16,Proportion,0.036,95% Confidence Intervals,0.043,0.029
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 2,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2015/16,Proportion,0.051,95% Confidence Intervals,0.061,0.043
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 3,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2015/16,Proportion,0.063,95% Confidence Intervals,0.071,0.055
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 4,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2015/16,Proportion,0.073,95% Confidence Intervals,0.081,0.065
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 5: Most deprived,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2015/16,Proportion,0.101,95% Confidence Intervals,0.111,0.092
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 1: Least deprived,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2016/17,Proportion,0.039,95% Confidence Intervals,0.046,0.033
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 2,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2016/17,Proportion,0.049,95% Confidence Intervals,0.057,0.041
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 3,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2016/17,Proportion,0.065,95% Confidence Intervals,0.073,0.058
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 4,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2016/17,Proportion,0.083,95% Confidence Intervals,0.092,0.075
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 5: Most deprived,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2016/17,Proportion,0.11,95% Confidence Intervals,0.120,0.100
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 1: Least deprived,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2017/18,Proportion,0.048,95% Confidence Intervals,0.056,0.040
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 2,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2017/18,Proportion,0.053,95% Confidence Intervals,0.061,0.046
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 3,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2017/18,Proportion,0.074,95% Confidence Intervals,0.082,0.066
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 4,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2017/18,Proportion,0.095,95% Confidence Intervals,0.103,0.088
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 5: Most deprived,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2017/18,Proportion,0.117,95% Confidence Intervals,0.127,0.108
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 1: Least deprived,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2018/19,Proportion,0.055,95% Confidence Intervals,0.065,0.047
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 2,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2018/19,Proportion,0.058,95% Confidence Intervals,0.065,0.051
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 3,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2018/19,Proportion,0.076,95% Confidence Intervals,0.084,0.067
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 4,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2018/19,Proportion,0.1,95% Confidence Intervals,0.110,0.092
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 5: Most deprived,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2018/19,Proportion,0.122,95% Confidence Intervals,0.131,0.114
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 1: Least deprived,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2019/20,Proportion,0.053,95% Confidence Intervals,0.064,0.045
Psychological distress - high or very high,Psychological distress in the last 4 weeks high or very high (K10 score ≥12) (15+ years),NZ Health Survey (Ministry of Health),Quintile 2,NZDep 2018 Quintiles,"3-year pooled, rolling average period ending in",2019/20,Proportion,0.057,95% Confidence Intervals,0.065,0.049
