indicator,indicator_description,indicator_source,demographic,demographic_description,time_description,time_period,value_description,value,term_description,upper_term,lower_term
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Quintile 4,NZDep 2018 Quintiles,Calendar year ending in,2023,Percent,54.1,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Quintile 5: Most deprived,NZDep 2018 Quintiles,Calendar year ending in,2019,Percent,52,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Quintile 5: Most deprived,NZDep 2018 Quintiles,Calendar year ending in,2020,Percent,51.9,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Quintile 5: Most deprived,NZDep 2018 Quintiles,Calendar year ending in,2021,Percent,50.9,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Quintile 5: Most deprived,NZDep 2018 Quintiles,Calendar year ending in,2022,Percent,49.4,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Quintile 5: Most deprived,NZDep 2018 Quintiles,Calendar year ending in,2023,Percent,47.7,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Māori,Ethnicity (prioritised),Calendar year ending in,2019,Percent,56,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Māori,Ethnicity (prioritised),Calendar year ending in,2020,Percent,54.8,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Māori,Ethnicity (prioritised),Calendar year ending in,2021,Percent,52.1,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Māori,Ethnicity (prioritised),Calendar year ending in,2022,Percent,49.8,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Māori,Ethnicity (prioritised),Calendar year ending in,2023,Percent,48.7,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Pacific peoples,Ethnicity (prioritised),Calendar year ending in,2019,Percent,42.5,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Pacific peoples,Ethnicity (prioritised),Calendar year ending in,2020,Percent,41.7,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Pacific peoples,Ethnicity (prioritised),Calendar year ending in,2021,Percent,41.2,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Pacific peoples,Ethnicity (prioritised),Calendar year ending in,2022,Percent,40.1,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Pacific peoples,Ethnicity (prioritised),Calendar year ending in,2023,Percent,37.4,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Asian,Ethnicity (prioritised),Calendar year ending in,2019,Percent,51.3,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Asian,Ethnicity (prioritised),Calendar year ending in,2020,Percent,50.1,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Asian,Ethnicity (prioritised),Calendar year ending in,2021,Percent,49.8,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Asian,Ethnicity (prioritised),Calendar year ending in,2022,Percent,48.4,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Asian,Ethnicity (prioritised),Calendar year ending in,2023,Percent,44.1,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),European/Other,Ethnicity (prioritised),Calendar year ending in,2019,Percent,67.1,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),European/Other,Ethnicity (prioritised),Calendar year ending in,2020,Percent,66.1,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),European/Other,Ethnicity (prioritised),Calendar year ending in,2021,Percent,64.1,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),European/Other,Ethnicity (prioritised),Calendar year ending in,2022,Percent,62.8,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),European/Other,Ethnicity (prioritised),Calendar year ending in,2023,Percent,61.3,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Women,Gender,Calendar year ending in,2019,Percent,62.9,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Women,Gender,Calendar year ending in,2020,Percent,62.2,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Women,Gender,Calendar year ending in,2021,Percent,61.2,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Women,Gender,Calendar year ending in,2022,Percent,60,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Women,Gender,Calendar year ending in,2023,Percent,58.1,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Men,Gender,Calendar year ending in,2019,Percent,61.6,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Men,Gender,Calendar year ending in,2020,Percent,60.7,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Men,Gender,Calendar year ending in,2021,Percent,59.2,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Men,Gender,Calendar year ending in,2022,Percent,57.7,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),Men,Gender,Calendar year ending in,2023,Percent,55.6,NA,NA,NA
